X,Y,id,vertex_ind,vertex_par,vertex_p_1,distance,angle
577952.77810897,6178824.19173649,"1","0","0","0",0.00000000000000,97.66680426187033
578038.074059363,6178812.70958932,"1","1","0","1",86.06531738763472,97.58133095053712
578100.405715419,6178804.50805563,"1","2","0","2",148.93423261285847,100.24523721549930
578164.377678214,6178789.74529499,"1","3","0","3",214.58749700737721,91.89179512581894
578225.069027532,6178799.58713542,"1","4","0","4",276.07165517089248,81.83197855472000
578251.313935345,6178802.86774889,"1","5","0","5",302.52080659221951,88.26360321516422
578328.408352047,6178797.94682868,"1","6","0","6",379.77211429811808,91.26446003336874
578412.063995701,6178799.58713542,"1","7","0","7",463.44383784584778,88.31547735981968
578495.719639356,6178802.86774889,"1","8","0","8",547.16378254279243,83.22216247985880
578569.53344258,6178817.63050954,"1","9","0","9",622.43938714570311,76.84749419842926
578661.390619926,6178842.23511061,"1","10","0","10",717.53474678041596,72.59122815019876
578802.456999422,6178893.0846195,"1","11","0","11",867.48605880615332,65.03811543203088
579255.1816592,6179155.53369763,"1","12","0","12",1390.78247211575263,64.04864297400604
579378.204664574,6179204.74289978,"1","13","0","13",1523.28230391767875,73.98102407031868
579741.532607113,6179270.35516932,"1","14","0","14",1892.48707601955243,76.79947923730268
579854.713772057,6179303.16130408,"1","15","0","15",2010.32687649670629,73.68253620401336
580043.349046965,6179358.93173319,"1","16","0","16",2207.03378461553166,74.06701115333480
580156.530211909,6179390.09756121,"1","17","0","17",2324.42750222770837,74.05004468204373
580289.395057713,6179429.46492293,"1","18","0","18",2463.00187366572663,68.80430617582418
580400.935915919,6179483.5950453,"1","19","0","19",2586.98345776806173,73.92338781761272
580505.505470488,6179495.07719247,"1","20","0","20",2692.18151595463905,84.01160438190428
580685.939211703,6179513.12056659,"1","21","0","21",2873.51518166185633,73.09661465065568
580891.797707363,6179623.02111806,"1","22","0","22",3106.87295729503103,73.54513577315008
580969.712277433,6179629.58234501,"1","23","0","23",3185.06330150938902,58.82882069915454
581004.158718938,6179683.71246738,"1","24","0","24",3249.22425131177351,59.84601271356034
581173.110312985,6179691.91400107,"1","25","0","25",3418.37479457436757,48.02060634390726
581180.491693308,6179739.48289648,"1","26","0","26",3466.51297678277433,39.06246440886575
581254.305496533,6179767.36811103,"1","27","0","27",3545.41838050808110,68.25000439731994
581398.652489505,6179828.05946035,"1","28","0","28",3702.00539868738133,74.96610739410788
581565.963776814,6179849.38344795,"1","29","0","29",3870.67009359438225,84.74852748177464
581826.772548208,6179864.14620859,"1","30","0","30",4131.89634483578993,62.71005397878078
581859.578682974,6179905.15387705,"1","31","0","31",4184.41178400135868,46.24308960400870
582012.127209638,6180016.69473526,"1","32","0","32",4373.38907373904476,53.05068795617896
582099.06346677,6180083.94731153,"1","33","0","33",4483.30186562002837,54.29246871580104
582224.546932252,6180167.60295518,"1","34","0","34",4634.11422196015792,68.40795129394905
582705.156806581,6180247.97798536,"1","35","0","35",5121.39852991461703,79.06660522142056
583183.716297487,6180352.95761661,"1","36","0","36",5611.33720905119935,76.97796659783688
583244.407646805,6180367.72037726,"1","37","0","37",5673.79822876689286,76.32869286710310
