X,Y,id,vertex_ind,vertex_par,vertex_p_1,distance,angle
582343.46917078,6178153.30628052,,"0","0","0",0.00000000000000,309.16337147514145
582140.071135228,6178318.97726109,,"1","0","1",262.33115459245721,292.06655610145037
582102.344080246,6178322.25787457,,"2","0","2",300.20057632491921,317.70694258043574
582103.984386985,6178533.85744381,,"3","0","3",511.80650325084270,0.97579009594075
582107.265000461,6178658.52075592,,"4","0","4",636.51297385980752,1.92237080894827
582110.545613938,6178738.8957861,,"5","0","5",716.95492747134369,348.94667553933209
582085.941012863,6178793.02590847,,"6","0","6",776.41463266105075,348.51242296696006
582087.581319601,6178856.99787126,,"7","0","7",840.40762157387883,349.83369561406244
582077.739479171,6178881.60247234,,"8","0","8",866.90758793433326,349.33410876671485
582079.37978591,6179081.71989441,,"9","0","9",1067.03173246596293,357.82485680130128
582073.032842547,6179156.98988478,,"10","0","10",1142.56884348060476,10.64699960655933
582088.526553011,6179188.59705413,,"11","0","11",1177.76924430315148,30.68265919423090
582146.782904356,6179271.0235938,,"12","0","12",1278.70455484301056,36.67008931964823
582182.728312633,6179316.88497677,,"13","0","13",1336.97409083220850,40.03799268881415
582193.883784167,6179329.27994514,,"14","0","14",1353.64981528616636,38.05730187722483
582223.365991123,6179372.78017272,,"15","0","15",1406.19950915903291,33.26361571588897
582385.030981304,6179627.52500573,,"16","0","16",1707.91211909854474,61.19992008695896
582385.030981304,6179627.52500573,,"17","0","17",1707.91211909854474,43.90391250750735
582381.120888789,6179729.67126277,,"18","0","18",1810.13318664530198,336.40391250746887
582207.556097875,6179903.23605368,,"19","0","19",2055.59086790642777,352.89636511131016
582211.118643382,6179909.21400377,,"20","0","20",2062.54986336417687,12.08963487020029
582191.522886997,6180078.2274026,,"21","0","21",2232.69545587471475,353.86914607198679
582169.477661063,6180301.12913148,,"22","0","22",2456.68468045241434,4.67833650457739
582233.163869316,6180538.72767766,,"23","0","23",2702.67045700426115,17.78048280120912
582277.254321184,6180656.30221597,,"24","0","24",2828.24011896758884,344.85001581706655
582171.927130611,6180742.03365016,,"25","0","25",2964.04768827659336,322.88491102476058
582047.004183653,6181031.07105684,,"26","0","26",3278.92602214673616,346.14676082587908
582034.756835912,6181192.73604703,,"27","0","27",3441.05426329226702,42.83384300841818
582034.756835912,6181192.73604703,,"28","0","28",3441.05426329226702,73.04414323182280
582107.628554971,6181241.72543799,,"29","0","29",3528.86228038390846,41.59191947869750
582161.516885031,6181347.05262856,,"30","0","30",3647.17444877989647,25.84767154946931
582254.596727863,6181550.35860106,,"31","0","31",3870.77493088042411,27.58950873884222
582381.969144369,6181765.9119213,,"32","0","32",4121.14858435380847,16.24418965274582
582384.418613917,6181839.39600775,,"33","0","33",4194.67348395796944,336.45911966735952
582271.7430147,6181937.37478968,,"34","0","34",4343.99070455577476,308.00055354971113
582247.248319218,6181954.52107651,,"35","0","35",4373.89029082456273,329.98945322133312
582235.000971477,6182094.14084076,,"36","0","36",4514.04619007725796,354.89622866862231
582217.85468464,6182282.74999597,,"37","0","37",4703.43311829984668,354.54748897738915
582208.056806447,6182380.7287779,,"38","0","38",4801.90057548775349,353.07965225416893
582166.415824128,6182672.21565413,,"39","0","39",5096.34678522046579,40.93494882291878
582166.415824128,6182672.21565413,,"40","0","40",5096.34678522046579,53.69666107342974
582230.102032381,6182875.52162664,,"41","0","41",5309.39431882765166,8.69666107342974
582230.102032381,6182922.06154805,,"42","0","42",5355.93424024269007,346.98520390424210
582178.663171869,6183027.38873862,,"43","0","43",5473.15101994874476,332.19628456364683
582127.224311357,6183118.01911191,,"44","0","44",5577.36148454918839,3.40325656731222
582264.394606056,6183304.17879757,,"45","0","45",5808.59971303641942,333.19217590790760
582247.248319218,6183304.17879757,,"46","0","46",5825.74599987382771,0.00000000000000
582247.248319218,6183304.17879757,,"47","0","47",5825.74599987382771,50.00398990072826
582269.293545152,6183429.10174453,,"48","0","48",5952.59920110702751,14.68348698856236
582301.136649279,6183519.73211781,,"49","0","49",6048.66088879717881,10.37808760147903
582303.586118827,6183620.16036929,,"50","0","50",6149.11900741185127,359.55328549232564
582298.68717973,6183742.6338467,,"51","0","51",6271.69042444280876,43.85469497868076
582298.68717973,6183742.6338467,,"52","0","52",6271.69042444280876,45.00000000000000
582298.68717973,6183808.7695245,,"53","0","53",6337.82610224425389,0.00000000000000
